Name,Subtitles,season_episode,ners
tyrion lannister,Did you? You failed. That bit of theater will haunt our family for a generation.,11,"[set(), set(), set()]"
cersei lannister,Robb Stark is a child.,11,[{'robb'}]
tyrion lannister,Who's won every battle he's fought. Do you understand we're losing the war?,11,"[set(), set()]"
cersei lannister,What do you know about warfare?,11,[set()]
tyrion lannister,Nothing. But I know people. And I know that our enemies hate each other almost as much as they hate us.,11,"[set(), set(), set()]"
cersei lannister,Joffrey is King.,11,[{'joffrey'}]
tyrion lannister,Joffrey is King.,11,[{'joffrey'}]
cersei lannister,You are here to advise him.,11,[set()]
tyrion lannister,"I'm only here to advise him. And if the King listens to what I say, the King might just get his Uncle Jaime back.",11,"[set(), {'jaime'}]"
cersei lannister,How?,11,[set()]
tyrion lannister,You love your children. It's your one redeeming quality. That and your cheekbones. The Starks love their children as well. And we have two of them.,11,"[set(), set(), set(), set(), set()]"
cersei lannister,One.,11,[set()]
tyrion lannister,One?,11,[set()]
cersei lannister,"Arya, little animal, she disappeared.",11,[{'arya'}]
tyrion lannister,"Disappeared? What, in a puff of smoke? We had three Starks to trade. You chopped one's head off and let another escape. Father will be furious. It must be odd for you to be the disappointing child.",11,"[set(), set(), set(), set(), set(), set()]"
lord,"My Lord, may the Old Gods watch over your brother and all our northern sons.",11,[set()]
lord,"The walls of my Holdfast will not stand the winter. The stones were last mortared in the time of King Aerys, and I'm afraid the masons today are not fit to carry their fathers' hammers. When I was a boy, I remember seeing them put up a new tower at Torrhen's Square in a summer. Men worked back then. Today, my Holdfast looks like it was built by drunk children. At night you can hear the wind howling through the gaps. And the Gods forbid it rains. Why, I might as well sleep beneath a waterfall.",11,"[set(), {'aerys'}, set(), set(), set(), set(), set(), set()]"
luwin,Maintenance of a Holdfast generally falls to the lord of that Holdfast.,11,[set()]
lord,"Generally, yes, but I've sent all the young men off to fight Robb Stark's war.",11,[{'robb'}]
bran stark,King Robb. And it's not his war. He didn't choose it.,11,"[{'robb'}, set(), set()]"
lord,"Maybe not, My Lord, but he called in his Banners, and took the men.",11,[set()]
bran stark,"Joffrey killed my father, your liege lord. Do you remember your vows, Ser?",11,"[{'joffrey'}, {'ser'}]"
lord,Of course I remember!,11,[set()]
luwin,"We can spare four masons for a week, My Lord. Will that be sufficient to repair your walls?",11,"[set(), set()]"
lord,I - I believe it will.,11,[set()]
luwin,"We didn't want him here all day, did we?",11,[set()]
bran stark,I didn't like the way he was talking about Robb.,11,[{'robb'}]
luwin,Nor did I. But listening to people you'd rather not listen to is one of your responsibilities as Lord of Winterfell. . Lord Portan.,11,"[set(), set(), set(), {'portan'}]"
portan,"My Lord, may the Old Gods watch over your brother and all our northern sons.",11,[set()]
osha,Boil this for an hour and drink the tea. Makes all your pain go away.,11,"[set(), set()]"
bran stark,Don't have any pain.,11,[set()]
osha,Lucky for you.,11,[set()]
bran stark,That way.,11,[set()]
osha,You've been having those dreams again.,11,[set()]
bran stark,I don't dream.,11,[set()]
osha,Everyone dreams.,11,[set()]
bran stark,I don't. Heard some of the men talking about the comet. . They say it's an omen. They say it means Robb will win a great victory in the South.,11,"[set(), set(), set(), set(), {'robb'}]"
osha,"Did they? . I heard some other fools say it's Lannister Red. Means the Lannisters will rule all Seven Kingdoms before long. I heard a stable boy say it's the color of blood, to mark the death of your father.",11,"[set(), set(), {'lannister'}, set(), set()]"
osha,"The stars don't fall for men. The red comet means one thing, boy. Dragons.",11,"[set(), set(), set()]"
bran stark,The dragons are all dead. They've been dead for centuries.,11,"[set(), set()]"
doreah,"What did your brother say about them, Khaleesi?",11,[{'khaleesi'}]
daenerys targaryen,He said they ate meat.,11,[set()]
doreah,He didn't tell you what kind of meat?,11,[set()]
daenerys targaryen,My brother didn't know anything about dragons. He didn't know anything about anything.,11,"[set(), set()]"
daenerys targaryen,She was Drogo's first gift to me.,11,[{'drogo'}]
jorah mormont,I remember.,11,[set()]
daenerys targaryen,I promised to protect them. Promised them their enemies would die screaming. How do I make starvation scream?,11,"[set(), set(), set()]"
jorah mormont,"A trick I never learned, I'm afraid.",11,[set()]
daenerys targaryen,Does it ever end?,11,[set()]
jorah mormont,"This is further east than I've ever been. But, yes, Khaleesi, everything ends, even the red waste.",11,"[set(), {'khaleesi'}]"
daenerys targaryen,And you're sure there's no other way?,11,[set()]
jorah mormont,"If we go south to the land of the Lazarheen, the Lamb Men will kill us and take your dragons. If we go west to the Dothraki Sea, the first Khalasar we meet will kill us and take your dragons.",11,"[set(), set()]"
daenerys targaryen,No one will take my dragons.,11,[set()]
jorah mormont,"They are too weak to fight, as are your people. You must be their strength.",11,"[set(), set()]"
daenerys targaryen,As you are mine.,11,[set()]
daenerys targaryen,"Rakharo, Aggo, Kovarro. Take our remaining horses. You will ride east, you southeast, and you northeast.",11,"[{'aggo', 'kovarro', 'rakharo'}, set(), set()]"
rakharo,"What do we seek, Khaleesi?",11,[{'khaleesi'}]
daenerys targaryen,"Cities, living or dead. Caravans and people. Rivers or lakes or the great salt sea. Find how far the Red Waste extends before us, and what lies on the other side.",11,"[set(), set(), set(), set()]"
daenerys targaryen,"Rokharo, you are my last hope, blood of my blood.",11,[{'rokharo'}]
rakharo,"I will not fail you, blood of my blood.",11,[set()]
daenerys targaryen,You never have.,11,[set()]
rakharo,This is… bad time to start.,11,[set()]
jon snow,Having a rough time of it?,11,[set()]
sam,Nothing's killed me yet.,11,[set()]
grenn,Your ass killed the sledge.,11,[set()]
sam,You offered me a ride!,11,[set()]
grenn,I just wanted you to shut up about your damn blisters.,11,[set()]
edd,"I was born in a place like this. Later, I fell on hard times.",11,"[set(), set()]"
sam,Are those girls?,11,[set()]
edd,Craster's daughters.,11,[{'craster'}]
sam,I haven't seen a girl in six months.,11,[set()]
edd,I'd keep on not seeing them if I were you.,11,[set()]
grenn,"What, he don't like people messing with his daughters?",11,[set()]
edd,He don't like people messing with his wives.,11,[set()]
edd,"He marries his daughters, and they give him more daughters, and on, and on it goes.",11,[set()]
sam,That's foul.,11,[set()]
grenn,It's beyond foul.,11,[set()]
edd,All the other wildlings for a hundred leagues have disappeared. Craster's still here. He must be doing something right.,11,"[set(), set(), set()]"
jon snow,What happens to the boys?,11,[set()]
sam,Hmm?,11,[set()]
jon snow,He marries his daughters. What does he do with his sons?,11,"[set(), set()]"
lord mormont,He said he planned to stop here on his way to the Frostfangs.,11,[set()]
craster,"People make all sorts of plans. I haven't seen Benjen Stark in three years. Haven't missed him. Always treated me like scum. . Haven't had any good wine for a long time. You Southerners make good wine, I'll give you that.",11,"[set(), {'benjen'}, set(), set(), set(), set(), set()]"
jon snow,We're not Southerners.,11,[set()]
craster,Who's this little girl? You're prettier than half my daughters. You got a nice wet twat between your legs? What's your name?,11,"[set(), set(), set(), set()]"
jon snow,Jon Snow.,11,[{'jon'}]
craster,"Snow, eh? Listen to me, bastard. All you lot from south of the Wall, you're Southerners. But now you're in the North, the real North.",11,"[set(), set(), set(), set()]"
lord mormont,The lad meant no harm.,11,[set()]
craster,I catch that pretty little bastard talking to my daughters -,11,[set()]
lord mormont,"No one will talk to your daughters, you have my word. Now, sit down and shut your mouth.",11,"[set(), set()]"
craster,You bring any of that good wine with you?,11,[set()]
lord mormont,We did. We passed through six villages on the way here. All six were abandoned. Where have all the wildlings gone?,11,"[set(), set(), set(), set()]"
craster,"I could tell you, but I'm thirsty.",11,[set()]
lord mormont,There's a barrel of Dornish wine on the sledge. Bring it in here.,11,"[set(), set()]"
watchman,"Yes, commander.",11,[set()]
craster,You want to know where they've all gone? North! To join up with Mance Rayder Your old friend.,11,"[set(), {'north'}, {'mance'}]"
lord mormont,"He's no friend of mine. He broke his vows, betrayed his brothers!",11,"[set(), set()]"
craster,"Oh, aye. But once he was just a poor black crow. And now he's King-Beyond-the-Wall.",11,"[set(), set(), set()]"
lord mormont,He's been calling himself that for years. What's he king of? A frozen lake somewhere?,11,"[set(), set(), set()]"
craster,That's a good-looking axe. Fresh forged?,11,"[set(), set()]"
lord mormont,Give it here.,11,[set()]
lord mormont,You'll have another one made at Castle Black. . Here.,11,"[set(), set(), set()]"
craster,"Oh, that's some lovely steel. . You want to know what Mance Rayder is doing? Gathering an army. What I hear, he's already got more men than any of your southern kings.",11,"[set(), set(), {'mance'}, set(), set()]"
lord mormont,And where does he plan marching this army?,11,[set()]
craster,"When you're all the way north, there's only one direction to go.",11,[set()]
lord mormont,These are bad times to be living alone in the wild. The cold winds are rising.,11,"[set(), set()]"
craster,"Let them come. My roots are sunk deep. Wife, tell the Lord Crow how content we are.",11,"[set(), set(), {'crow'}]"
gilly,This is our place. Our husband keeps us safe. Better to live free than die a slave.,11,"[set(), set(), set()]"
craster,"Don't it make you jealous, old man, to see me with all these young wives and you with no one to warm your bed?",11,[set()]
lord mormont,We chose different paths.,11,[set()]
craster,"Oh, aye, and you chose the path with no one but boys on it. . You'll be wanting to sleep beneath my roof, I suppose, and eat me out of pigs.",11,"[set(), set(), set()]"
lord mormont,A roof would be welcome. It's been hard riding. We've brought our own food and good steel for you.,11,"[set(), set(), set()]"
craster,"Any man lays a hand on one of my wives, he loses the hand. And I see this one, , staring too long, I might just gouge his eyes out.",11,"[set(), set()]"
lord mormont,"Your roof, your rules.",11,[set()]
lord mormont,Who am I? Who am I?,11,"[set(), set()]"
jon snow,Lord commander.,11,[set()]
lord mormont,And who are you?,11,[set()]
lord mormont,Who are you?,11,[set()]
jon snow,Your steward.,11,[set()]
lord mormont,You want to lead one day? . Then learn how to follow.,11,"[set(), set(), set()]"
melisandre,"Lord of Light, come to us in our darkness. We offer you these false Gods.",11,"[set(), set()]"
melisandre,Take them and cast your light upon us. For the night is dark and full of terrors.,11,"[set(), set()]"
group,For the night is dark and full of terrors.,11,[set()]
melisandre,"After the long summer, darkness will fall heavy on the world. Stars will bleed.",11,"[set(), set()]"
cressen,We need to stop her!,11,[set()]
melisandre,The cold breath of winter will freeze the seas.,11,[set()]
davos,Not now.,11,[set()]
melisandre,And the dead shall rise in the North.,11,[set()]
cressen,All you men were named in the Light of the Seven! Is this how you treat the Gods of your fathers? Are you so eager to spit on your ancestors?,11,"[set(), set(), set()]"
melisandre,"You smell of fear, fear and piss and old bones. Do you want to stop me? Stop me.",11,"[set(), set(), set()]"
melisandre,"In the ancient books, it's written that a warrior will draw a burning sword from the fire. And that sword shall be Lightbringer. Stannis Baratheon, warrior of light, your sword awaits you.",11,"[set(), set(), {'stannis'}]"
crowd,"Lord, cast your light upon us!",11,[set()]
melisandre,For the night is dark and full of terrors.,11,[set()]
stannis baratheon,For the night is dark and full of terror.,11,[set()]
cressen,This woman will lead him into a war he cannot win.,11,[set()]
davos,"Stannis is our king. We follow where he leads, even if we don't like the path.",11,"[{'stannis'}, set()]"
cressen,"King. Since that boar killed his brother, every lord wants a coronation.",11,"[set(), set()]"
davos,I don't serve the others. I serve Stannis.,11,"[set(), {'stannis'}]"
cressen,"As do I, but loyal service means telling hard truths. He's surrounded by fools and fanatics, but he trusts you, Davos. . If you tell him the truth…",11,"[set(), {'davos'}, set(), set()]"
davos,What's the truth?,11,[set()]
matthos,And I declare upon the honor of my house that my beloved brother Robert le-”,11,[{'robert'}]
stannis baratheon,"He wasn't my beloved brother. . I didn't love him, he didn't love me.",11,"[set(), set(), set()]"
davos,"A harmless courtesy, Your Grace.",11,[set()]
stannis baratheon,A lie. Take it out.,11,"[set(), set()]"
matthos,"That my brother Robert left no trueborn heirs; the boy Joffrey, the boy Tommen, and the girl Myrcella, being born of incest between Cersei Lannister and her brother Jaime Lannister. By right of birth -""",11,"[{'robert', 'cersei', 'joffrey', 'tommen', 'myrcella', 'jaime'}, set()]"
stannis baratheon,"Jaime Lannister, the Kingslayer. Call him what he is.",11,"[{'jaime'}, set()]"
matthos,"And her brother Jaime Lannister, the Kingslayer. By right of birth and blood, I do this day lay claim -",11,"[{'jaime'}, set()]"
stannis baratheon,"Make it Ser Jaime Lannister, the Kingslayer. Whatever else he is, the man's still a knight.",11,"[{'ser'}, set()]"
matthos,"Ser Jaime Lannister, the Kingslayer. By right of birth and blood, I do this day lay claim to the Iron Throne of Westeros. . Let all true men declare their loyalty.”",11,"[{'jaime'}, set(), set(), set()]"
stannis baratheon,"When Eddard Stark learned the truth, he told only me. I'll not make the same mistake. Send copies of that letter to every corner of the Realm, from the Arbor to the Wall. The time has come to choose. Let no man claim ignorance as an excuse.",11,"[{'eddard'}, set(), set(), set(), set()]"
davos,"Your Grace, the Lannisters are the true enemy. If, for the time being, you could make peace with your brother -",11,"[set(), set()]"
stannis baratheon,I'll not make peace with Renly while he calls himself King.,11,[{'renly'}]
davos,"Well, many have already declared for him; Mace Tyrell, Randyll Tarly.",11,"[{'mace', 'randyll'}]"
melisandre,Stannis does not need to beg this lord or that lord for support. The Lord of Light stands behind him.,11,"[{'stannis'}, {'the'}]"
davos,And how many ships has the Lord of Light got in his fleet?,11,[set()]
melisandre,He has no need for ships.,11,[set()]
davos,"I'm sure he doesn't, but we do if we're going to war. If not Renly, Your Grace, join forces with Robb Stark.",11,"[set(), {'renly', 'robb'}]"
stannis baratheon,"Who would steal the northern half of my kingdom. I've always served thieves according to their desserts, as you well know, Ser Davos. Joffrey, Renly, Robb Stark, they're all thieves. They'll bend the knee or I'll destroy them.",11,"[set(), {'ser'}, {'renly', 'robb', 'joffrey'}, set()]"
cressen,"I owe you an apology, my King. My duty is to serve. You have chosen the new God over the Old Gods. May the Lord of Light watch over us all. Shall we drink together?",11,"[set(), set(), set(), set(), set()]"
davos,Don't.,11,[set()]
cressen,A cup of wine to honor the one true God.,11,[set()]
melisandre,"The night is dark and full of terrors, old man, but the fire burns them all away. Your Grace.",11,"[set(), set()]"
jaime lannister,"King in the North. I keep expecting you to leave me in one castle or another for safekeeping, but you drag me along from camp to camp. Have you grown fond of me, Stark? Is that it? I've never seen you with a girl.",11,"[{'king'}, set(), {'stark'}, set(), set()]"
robb stark,"If I left you with one of my bannermen, your father would know within a fortnight, and my bannerman would receive a raven with a message, ""Release my son and you'll be rich beyond your dreams. Refuse and your house will be destroyed, root and stem.”",11,"[set(), set()]"
jaime lannister,You don't trust the loyalty of the men following you into battle?,11,[set()]
robb stark,"Oh, I trust them with my life. Just not with yours.",11,"[set(), set()]"
jaime lannister,Smart boy. What's wrong? Don't like being called ‘boy'? Insulted?,11,"[set(), set(), set(), set()]"
robb stark,"You insult yourself, Kingslayer. You've been defeated by a boy.",11,"[{'kingslayer'}, set()]"
robb stark,You're held captive by a boy. Perhaps you'll be killed by a boy. . Stannis Baratheon sent ravens to all the high lords of Westeros. King Joffrey Baratheon is neither a true king nor a true Baratheon. . He's your bastard son.,11,"[set(), set(), set(), {'stannis'}, {'baratheon', 'joffrey'}, set(), set()]"
jaime lannister,"If that's true, Stannis is the rightful king. How convenient for him.",11,"[{'stannis'}, set()]"
robb stark,My father learned the truth. That's why you had him executed.,11,"[set(), set()]"
jaime lannister,I was your prisoner when Ned Stark lost his head.,11,[{'ned'}]
robb stark,Your son killed him so the world wouldn't learn who fathered him. And you... you pushed my brother from a window because he saw you with the queen.,11,"[set(), set()]"
jaime lannister,You have proof? Or do you want to trade gossip like a couple of fishwives?,11,"[set(), set()]"
robb stark,I'm sending one of your cousins down to King's Landing with my peace terms.,11,[set()]
jaime lannister,You think my father's going to negotiate with you? You don't know him very well.,11,"[set(), set()]"
robb stark,"No, but he's starting to know me.",11,[set()]
jaime lannister,Three victories don't make you a conqueror.,11,[set()]
robb stark,It's better than three defeats.,11,[set()]
shae,This city stinks Like dead bodies.,11,[set()]
tyrion lannister,"A bit corpsey, yes.",11,[set()]
shae,And shit.,11,[set()]
tyrion lannister,I thought you wanted to come here.,11,[set()]
shae,I love it.,11,[set()]
tyrion lannister,You love the smell of dead bodies and shit?,11,[set()]
shae,And cum and garlic and rum.,11,[set()]
tyrion lannister,You can smell cum from the balcony?,11,[set()]
shae,I love the stink. I love the noise. Cities make me want to fuck.,11,"[set(), set(), set()]"
tyrion lannister,And so did the country.,11,[set()]
shae,This is where I belong.,11,[set()]
tyrion lannister,"Yes, well, you need to be careful. No one can know you're here.",11,"[set(), set()]"
shae,No one will know.,11,[set()]
tyrion lannister,"You can't trust anyone in King's Landing. They're all liars; good liars, bad liars, one or two great liars.",11,"[set(), set()]"
shae,What about you?,11,[set()]
tyrion lannister,Me? I'm not from here. I'm a slave to the truth.,11,"[set(), set(), set()]"
shae,Truth? You are the biggest little liar I have ever met.,11,"[set(), set()]"
tyrion lannister,"Why do you think I am so little? I'm being, , crushed beneath the weight of all that truth.",11,"[set(), set()]"
tyrion lannister,"Ned Stark actually slept on this, as if the poor man didn't suffer enough. One of the many changes we'll have to make around here.",11,"[{'ned'}, set()]"
cersei lannister,Lord Baelish.,11,[{'baelish'}]
petyr baelish,Your Grace.,11,[set()]
cersei lannister,I wonder if I might ask you for a favor.,11,[set()]
petyr baelish,"Of course, Your Grace.",11,[set()]
cersei lannister,Ned Stark's youngest daughter Arya... we can't seem to locate her.,11,"[{'ned', 'arya'}]"
petyr baelish,"If she's escaped the capital, Winterfell seems the logical destination.",11,[set()]
cersei lannister,And yet my friends in the North report no sign of her.,11,[set()]
petyr baelish,Curious.,11,[set()]
cersei lannister,"If we choose to negotiate with the Starks, the girl has some value. Whoever finds her, well, you know what they say about Lannisters and debts.",11,"[{'starks'}, set()]"
petyr baelish,"Well, you could ask Varys where she is. He'll have an answer for you. Whether you believe it,,, Myself, I have always had a hard time trusting eunuchs. Who knows what they want?",11,"[{'varys'}, set(), set(), set()]"
cersei lannister,"A mockingbird. . You created your own Sigil, didn't you?",11,"[set(), set(), {'sigil'}]"
petyr baelish,Yes.,11,[set()]
cersei lannister,Appropriate for a self-made man with so many songs to sing.,11,[set()]
petyr baelish,I'm glad you like it. Some people are fortunate enough to be born into the right family. Others have to find their own way.,11,"[set(), set(), set()]"
cersei lannister,"I heard a song once about a boy of modest means who found his way into the home of a very prominent family. He loved the eldest daughter. Sadly, she had eyes for another.",11,"[set(), set(), set()]"
petyr baelish,"When boys and girls live in the same home, awkward situations can arise. Sometimes, I've heard, even brothers and sisters develop certain affections. And when these affections become common knowledge, well, that is an awkward situation, indeed. Especially in a prominent family. But prominent families often forget a simple truth, I've found.",11,"[set(), set(), set(), set(), set()]"
cersei lannister,And which truth is that?,11,[set()]
petyr baelish,Knowledge is power.,11,[set()]
cersei lannister,Seize him. . Cut his throat. . Stop. Wait. I've changed my mind. Let him go. . Step back three paces. Turn around. Close your eyes. . Power is power. Do see if you can take some time away from your coins and your whores to locate the Stark girl for me. I would very much appreciate it.,11,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), {'stark'}, set()]"
robb stark,You're Ser Alton Lannister?,11,[{'alton'}]
alton,"I am, Your Grace.",11,[{'your'}]
robb stark,"I offer your cousins peace if they meet my terms. First, your family must release my sisters. Second, my father's bones must be returned to us so he may rest beside his brother and sister in the crypts beneath Winterfell. And the remains of all those who died in his service must also be returned. Their families can honor them with proper funerals.",11,"[set(), set(), set(), set(), set()]"
alton,"An honorable request, Your Grace.",11,[set()]
robb stark,"Third... Joffrey and the Queen Regent must renounce all claim to dominion of the North. From this time, till the end of time, we are a free and independent kingdom.",11,"[{'joffrey'}, set()]"
ser rodrik,The King in the North.,11,[{'the'}]
others at table,King in the North.,11,[{'king'}]
robb stark,"Neither Joffrey nor any of his men shall set foot in our lands again. If he disregards this command, he shall suffer the same fate as my father, only I don't need a servant to do my beheading for me.",11,"[{'joffrey'}, set()]"
alton,"These are... Your Grace, these are...",11,"[set(), set()]"
robb stark,"These are my terms. If the Queen Regent and her son meet them, I'll give them peace. If not, I will litter the south with Lannister dead.",11,"[set(), {'the'}, {'lannister'}]"
alton,"King Joffrey is a Baratheon, Your Grace.",11,[{'joffrey'}]
robb stark,"Oh, is he? You'll ride at daybreak, Ser Alton. That will be all for tonight.",11,"[set(), {'ser'}, set()]"
theon greyjoy,"A word, Your Grace?",11,[{'your'}]
robb stark,You don't have to call me ‘Your Grace' when no one's around.,11,[{'your'}]
theon greyjoy,It's not so bad once you get used to it.,11,[set()]
robb stark,I'm glad someone's gotten used to it.,11,[set()]
theon greyjoy,"The Lannisters are going to reject your terms, you know?",11,[set()]
robb stark,Of course they are.,11,[set()]
theon greyjoy,"We can fight them in the fields as long as you like, but we won't beat them until you take King's Landing. And we can't take King's Landing without ships. My father has ships and men who know how to sail them.",11,"[set(), set(), set()]"
robb stark,Men who fought my father.,11,[set()]
theon greyjoy,"Men who fought King Robert to free themselves from the yoke of the South, just like you're doing now. I'm his only living son. He'll listen to me. I know he will. I'm not a Stark. I know that. But your father raised me to be an honorable man. We can avenge him together.",11,"[{'robert'}, set(), set(), set(), {'stark'}, set(), set(), set()]"
catelyn stark,You don't want Balon Greyjoy for an ally.,11,[{'balon'}]
robb stark,I need his ships. They say he has 200.,11,"[set(), set()]"
catelyn stark,They say a million rats live in the sewers of King's Landing. Shall we rally them to fight for us?,11,"[set(), set()]"
robb stark,I understand you don't trust Lord Greyjoy.,11,[{'greyjoy'}]
catelyn stark,I don't trust Lord Greyjoy because he is not trustworthy. Your father had to go to war to end his rebellion.,11,"[{'greyjoy'}, set()]"
robb stark,"Yes. And now I'm the one rebelling against the throne. Before me, it was father. You married one rebel and mothered another.",11,"[set(), set(), set(), set()]"
catelyn stark,"I mothered more than just rebels, a fact you seem to have forgotten.",11,[set()]
robb stark,"If I trade the Kingslayer for two girls, my bannermen will string me up by my feet.",11,[set()]
catelyn stark,"You want to leave Sansa in the Queen's hands? And Arya, I haven't heard a word about Arya. What are we fighting for if not for them?",11,"[{'sansa'}, {'arya'}, set()]"
robb stark,It's more complicated than that! You know it is.,11,"[set(), set()]"
catelyn stark,It's time for me to go home. I haven't seen Bran or Rickon in months.,11,"[set(), {'bran', 'rickon'}]"
robb stark,You can't go to Winterfell.,11,[set()]
catelyn stark,I beg your pardon?,11,[set()]
robb stark,"I'll send Rodrik to watch over the boys, ‘cause tomorrow, you'll ride south to the Stormlands.",11,[{'rodrik'}]
catelyn stark,Why in the name of all the Gods -,11,[set()]
robb stark,"Because I need you to negotiate with Renly Baratheon. He's rallied an army of 100,000. You know him. You know his family.",11,"[{'renly'}, set(), set(), set()]"
catelyn stark,I haven't seen Renly Baratheon since he was a boy. You have a hundred other lords -,11,"[{'renly'}, set()]"
robb stark,"Which of these lords do I trust more than you? If Renly sides with us, we'll outnumber them two to one. When they feel the jaws beginning to shut, they'll sue for peace. We'll get the girls back. Then we'll all go home for good.",11,"[set(), {'renly'}, set(), set(), set()]"
catelyn stark,I will ride at first light.,11,[set()]
robb stark,"We will all be together again soon, I promise.",11,[set()]
catelyn stark,You've done so well. Your father would be proud.,11,"[set(), set()]"
robb stark,Give Lord Renly my regards.,11,[{'renly'}]
catelyn stark,King Renly. There's a king in every corner now.,11,"[{'renly'}, set()]"
cersei lannister,What is all this?,11,[set()]
joffrey lannister,"Returning this room to its proper appearance. Say what you will about the Targaryens, they were conquerors. That is a seat for a conqueror. It needs a room to match it, not vines and flowers.",11,"[set(), {'targaryens'}, set(), set()]"
cersei lannister,We can't find Arya Stark.,11,[{'arya'}]
joffrey lannister,"With luck, she's dead in a ditch somewhere.",11,[set()]
cersei lannister,"Perhaps. But if not, we need her. They'll never give Jaime back to us for Sansa alone.",11,"[set(), set(), {'sansa', 'jaime'}]"
joffrey lannister,I think they might. They're weak. They put too much value on their women. .,11,"[set(), set(), set(), set()]"
cersei lannister,We need to set our armies to the task of finding her. Send out as many men as we can. I'm sure if you asked grandfather -,11,"[set(), set(), set()]"
joffrey lannister,The King does not ask; He commands. And my grandfather's stupidity in the field of battle is the reason Robb Stark has Uncle Jaime in the first place.,11,"[set(), {'uncle', 'robb'}]"
cersei lannister,His life is in danger.,11,[set()]
joffrey lannister,We're at war. All our lives are in danger. I heard a disgusting lie about Uncle Jaime. And you.,11,"[set(), set(), {'jaime'}, set()]"
cersei lannister,Our enemies will say anything to weaken your claim to the throne.,11,[set()]
joffrey lannister,It's not a claim. The throne is mine.,11,"[set(), set()]"
cersei lannister,Of course it is. No one believes this foul gossip -,11,"[set(), set()]"
joffrey lannister,Someone believes it. Father had other children? Besides me and Tommen and Myrcella?,11,"[set(), set(), {'tommen', 'myrcella'}]"
cersei lannister,What are you asking?,11,[set()]
joffrey lannister,I'm asking if he fucked other women when he grew tired of you. How many bastards does he have running -,11,"[set(), set()]"
joffrey lannister,"What you just did is punishable by death. You will never do it again. Never. . That will be all, Mother.",11,"[set(), set(), set(), set(), set()]"
roz,"No, no, no, no. Do you have any idea how ridiculous you sound? Ease into it. Slowly, with passion.",11,"[set(), set(), set(), set()]"
roz,Go wash yourselves. Put some clothes on. Both of you are working tonight.,11,"[set(), set(), set()]"
roz,"We do things differently here, Daisy. This isn't some five-copper bawdy house in Hayseed Hall.",11,"[{'daisy'}, set()]"
daisy,Haystack Hall.,11,[set()]
roz,Wherever you're from. Our establishment doesn't cater to ploughmen and goat herders. . Lord Olsen. Taste is everything here.,11,"[set(), set(), set(), {'olsen'}, set()]"
daisy,Littlefinger's a fancy man.,11,[{'littlefinger'}]
roz,"Don't call him Littlefinger, he doesn't like it. Lord Baelish.",11,"[{'littlefinger'}, {'baelish'}]"
roz,She pretends she doesn't speak the common tongue so that people will think she's exotic. She grew up just down the road in flea bottom.,11,"[set(), set()]"
daisy,She's beautiful.,11,[set()]
roz,"She's a dumb slut, really, but a lid for every pot. . Lord Commander. Good to see you, again.",11,"[set(), set(), set(), set()]"
roz,"You do realize this establishment is owned by Lord Petyr Baelish, the King's Master of Coin. Coin which goes in many pockets.",11,"[{'petyr'}, set()]"
janos,Orders.,11,[set()]
roz,Whose orders?,11,[set()]
janos,Someone who doesn't care what Littlefinger thinks.,11,[{'littlefinger'}]
mhaegan,"No, you can't!",11,[set()]
mhaegan,No! Please! No! Not my Barra! Please. Please.,11,"[set(), set(), set(), {'barra'}, set(), set()]"
janos,Enough. Get it done. Kill the bastard.,11,"[set(), set(), set()]"
janos,Give it here.,11,[set()]
gold cloak,"Spread out! Search every house, every room. Look in every room.",11,"[set(), set(), set()]"
blacksmith,Gendry! His name is Gendry.,11,"[set(), {'gendry'}]"
janos,Where is the bastard?,11,[set()]
blacksmith,"The Night's Watch! Please, stop!",11,"[set(), set()]"
janos,Where?,11,[set()]
blacksmith,"They took him up the Kingsroad, heading north!",11,[set()]
janos,How will we know him?,11,[set()]
blacksmith,He's got a bull's head helmet. He made it himself.,11,"[set(), set()]"
janos,Find him.,11,[set()]
cold,OPEN,12,[set()]
cersei lannister,What are you doing here?,12,[set()]
varys,Your father has named Lord Tyrion to serve as hand in his stead.,12,[{'tyrion'}]
tyrion lannister,You brought this on yourself.,12,[set()]
cersei lannister,I've done nothing.,12,[set()]
tyrion lannister,Do you understand we're losing the war?,12,[set()]
daenerys targaryen,Does it ever end?,12,[set()]
jorah mormont,"Everything ends, even the red waste.",12,[set()]
daenerys targaryen,"Rakharo, Aggo, Kovarro.. Take our remaining horses. Find out how far the Red Waste extends before us, and what lies on the other side.",12,"[{'aggo', 'kovarro', 'rakharo'}, set()]"
edd,All the other wildlings for a hundred leagues have disappeared. Craster's still here.,12,"[set(), set()]"
craster,"Any man lays a hand on one of my wives, he loses the hand.",12,[set()]
edd,"He marries his daughters, and they give him more daughters.",12,[set()]
jon snow,What happens to the boys? What does he do with his sons?,12,"[set(), set()]"
matthos,"My brother Robert left no trueborn heirs, the boy Joffrey being born of incest between Cersei Lannister, and her brother Jaime Lannister. By right of birth, and blood, I do this day lay claim to the Iron Throne of Westeros.",12,"[{'jaime', 'robert', 'cersei', 'joffrey'}, set()]"
stannis baratheon,Send copies of that letter to every corner of the realm.,12,[set()]
robb stark,I'm sending one of your cousins down to King's Landing with my peace terms.,12,[set()]
